Num, FullName,"[Fe/H] [-]","M* Msun","Per d","msini Msun","a AU"
362,2M21273750+4654009,-0.211308,1.897541,380.45386,0.0238496,1.26157
363,2M21274355+1202081,-0.49733,0.841087,279.2064,0.0407808,0.76465
364,2M21281415+1207240,-0.156087,1.574537,209.09595,0.0817502,0.77548
365,2M21301297+1133164,-0.24415,0.850698,536.81877,0.260204,1.0252
366,2M21303338+1314001,-0.240996,1.215318,63.772264,0.00747379,0.33201
367,2M21303727+1155122,0.091078,1.079849,11.712345,0.489119,0.08072
368,2M21310059+1219589,-0.82734,1.069762,190.27506,0.196883,0.59161
369,2M21310801+1201391,-0.211842,1.36009,157.7327,0.0545676,0.61662
370,2M21312112+1307399,-1.682475,0.867574,102.05481,0.0798881,0.38437
371,2M21313183+1139365,-0.26127,0.848835,1439.4379,0.472728,1.75862
372,2M21315735+1156548,-0.85961,1.068787,74.373343,0.0898015,0.33534
373,2M21324071+1224030,-0.441745,1.206227,69.547434,0.123043,0.33022
374,2M21325045+1206334,-0.71971,0.382997,61.439975,0.0509456,0.20362
375,2M21331372+1254561,0.36402,1.287152,242.61002,0.0239469,0.81798
376,2M21334323+1125252,0.26862,0.784131,1757.6629,0.177225,2.29454
377,2M21341600+1148394,0.013224,1.416929,159.78754,0.486546,0.53164
378,2M21380962+4208595,-0.39433,0.791703,18.397369,0.0203547,0.12405
379,2M21415678+4306484,0.042618,1.760114,153.67379,0.325247,0.60546
380,2M21442136+4312587,-0.15765,0.727132,241.38042,0.30505,0.54017
381,2M21482923+4307053,0.002472,1.505675,93.154871,0.0478579,0.45143
382,2M21492557+4203285,0.24058,0.992951,22.345783,0.00829875,0.15404
